arvizturo tukorfurogep	árvíztűrő tükörfúrógép
Boszaju koruliromuvesz.	Bőszájú körülíróművész.
Csuszdazo mubor kulonitmeny	Csúszdázó műbőr különítmény
Husz kabito furesz orkodik, ut.	Húsz kábító fűrész őrködik, üt.
Fusujto, sargordito utes	Fűsújtó, sárgördítő ütés
Gyumolcsvedo agyufunyiro	Gyümölcsvédő ágyúfűnyíró
Haztuznezougynok-busito	Háztűznézőügynök-búsító
Johiru tuzeragyuonto	Jóhírű tüzérágyúöntő
Joizu felaru sutotok	Jóízű félárú sütőtök
Jott arviz, tuzvesz, rut gumokor.	Jött árvíz, tűzvész, rút gümőkór.
Kover fulu siturazo no	Kövér fülű sítúrázó nő
Kulonallo muutepito	Különálló műútépítő
Nyulfulvago terkozsurito	Nyúlfülvágó térközsűrítő
Otagu utomubenito	Ötágú ütőműbénító
Ot szep szuzlany orult irot nyuz.	Öt szép szűzlány őrült írót nyúz.
Tegy ugy orult, mar buvolsz, hodits!	Tégy úgy őrült, már bűvölsz, hódíts!
Tiz budos legy husz mucsotanyt foz	Tíz büdös légy húsz műcsótányt főz
Tobb hutohazbol kertunk szinhust.	Több hűtőházból kértünk színhúst.
Tuzon tiz orat ego nyulful	Tűzön tíz órát égő nyúlfül
Sos hust sutsz tan, vizkopo Szucsne.	Sós húst sütsz tán, vízköpő Szűcsné.
Szamitogepbotu-orult nyul.	Számítógépbötű-őrült nyúl.
Szenrazudito futokuldonc	Szénrázúdító fűtőküldönc
Szorosfulu ven siraso ur.	Szőrösfülű vén sírásó úr.
Tulkabito muremoloful	Túlkábító műrémölőfül
Tuskeshatu kigyobuvolo	Tüskéshátú kígyóbűvölő
Turo tars bekit, s ujbol orul.	Tűrő társ békít, s újból örül.
Uj fuvon csabito kejnot gyur.	Új füvön csábító kéjnőt gyűr.
Urnom, gyumolcsizu ragot vegy!	Úrnőm, gyümölcsízű rágót végy!
Uszojarmukurt-veszoblito	Úszójárműkürt-vészöblítő
Uldogelo muujsagiro	Üldögélő műújságíró
Vajt fulu biro ket dontot fujt.	Vájt fülű bíró két döntőt fújt.
Zartkoru noujito ules	Zártkörű nőújító ülés
Szelutott urujsagirono	Szélütött űrújságírónő
